"No","調査コース","二次メッシュ","lat1","lon1","lat2","lon2","標高(m)","海外線からの距離(km)","1990-2010年代の在不在の比較","1990の観測数","2010年の観測数","都道府県コード","2010 Total Precipitation (mm) within 20km□"
"1125","150-040","563961","37.84549","139.16056","37.86825","139.17884","10.7","13.31149724","0","0","0","0","45092.043"
"1126","150-041","563962","37.86125","139.29906","37.85661","139.29712","51.3","15.91994336","0","0","0","0","50694.03"
"1127","150-045","563856","37.79662","138.84419","37.78457","138.85763","13.7","1.98286962","1","0","1","15","47164.008"
"1128","150-047","563950","37.83065","139.06349","37.80538","139.06551","3","10.25937001","0","0","0","0","43959.035"
"1129","150-052","563955","37.77596","139.67129","37.793694","139.678886","501.1","43.70177743","0","0","0","0","53909.63"
"1130","150-053","563846","37.72355","138.8342","37.729796","138.820357","29.3","3.718442877","0","0","0","0","46374.62"
"1131","150-056","563941","37.6908","139.21334","37.69646","139.22994","36.9","30.60596885","1","0","1","15","48928.656"
"1132","150-057","563942","37.714313","139.256324","37.70202","139.27964","172.1","29.62385164","1","0","1","15","49767.117"
"1133","150-058","563943","37.682547","139.462244","37.680753","139.680753","58.2","40.19644988","0","0","0","0","55226.832"
"1134","150-063","563837","37.60216","138.98588","37.59131","138.97236","28","19.89883651","0","1","2","15","46205.156"
"1135","150-064","563930","37.6574","139.05368","37.6549","139.09154","23.2","24.18900864","0","0","0","0","46148.668"
"1136","150-066","563932","37.636449","139.247268","37.63455","139.26529","126.5","37.21796908","0","0","0","0","50956.375"
"1137","150-067","563933","37.611742","139.458181","37.62125","139.46263","145.1","46.9506164","1","0","1","15","54597.734"
"1138","150-069","563825","37.51581","138.73981","37.50362","138.73509","151.6","5.283435742","1","0","12","15","46988.363"
"1139","150-070","563826","37.54813","138.80688","37.55232","138.79075","21.4","7.842453112","0","4","2","15","45549.273"
"1140","150-073","563921","37.55721","139.17156","37.5465","139.14443","845.5","37.0357869","1","0","1","15","51677.42"
"1141","150-075","563923","37.54583","139.39425","37.53357","139.41391","320.5","51.4396245","0","0","0","0","56025.69"
"1142","150-079","563816","37.446331","138.830277","37.474277","138.841735","22","16.21088533","0","0","0","0","48932.55"
"1143","150-081","563910","37.438347","139.038957","37.420097","139.055669","172.5","31.68440886","0","0","0","0","54804.457"
"1144","150-083","563912","37.4691","139.37984","37.46519","139.39194","939.4","57.57523761","0","0","0","0","59113.977"
"1145","150-087","563804","37.38831081","138.565521","37.39159266","138.5767112","3.6","1.511260056","0","0","0","0","50722.86"
"1146","150-088","563805","37.36387","138.68851","37.3638","138.71117","82.8","10.94347312","0","1","2","15","49479.6"
"1147","150-090","563807","37.40133","138.91654","37.3986","138.93522","220.2","25.08503593","0","3","1","15","52695.85"
"1148","150-092","563901","37.34646","139.13453","37.37361","139.13316","330.6","44.13544923","0","0","0","0","60919.707"
"1149","150-094","553873","37.319773","138.494038","37.307825","138.476099","127.2","2.942812876","0","0","0","0","50315.07"
"1150","150-096","553875","37.33548","138.63475","37.319923","138.654168","20.3","8.586407337","1","0","2","15","49573.656"
"1151","150-097","553876","37.30979","138.80112","37.31614","138.80378","48.9","22.57717864","0","0","0","0","53204.086"
"1152","150-100","553971","37.322494","139.137905","37.314769","139.141338","340.2","45.85637009","0","0","0","0","60663.38"
"1153","150-103","553862","37.1744248","138.3622426","37.17533951","138.3719736","46.1","7.162858422","0","0","0","0","54548.195"
"1154","150-105","553864","37.17589","138.61181","37.175034","138.595824","139.8","21.82972917","1","0","3","15","54527.047"
"1155","150-107","553866","37.23477","138.80921","37.22835","138.81329","293.5","27.6679985","0","0","0","0","55837.516"
"1156","150-109","553960","37.18394","139.05416","37.175676","139.03279","300.4","49.01584369","1","0","1","15","59208.133"
"1157","150-114","553851","37.13764","138.18234","37.12752","138.18226","104.6","2.989365108","0","3","5","15","66336.09"
"1158","150-115","553852","37.11149","138.25855","37.10692","138.25405","12.6","7.345650468","0","0","0","0","62387.145"
"1159","150-121","553950","37.14577","139.00499","37.14045","139.02323","281.5","47.60454782","0","0","0","0","59546.31"
"1160","150-122","553951","37.11442","139.1511","37.10045","139.14819","1389.1","60.452682","1","0","1","15","56698.176"
"1161","150-125","553746","37.00885","137.84924","37.01139","137.8343","50.1","3.289768106","0","0","0","0","69015.01"
"1162","150-126","553747","37.02805","137.93736","37.02335","137.94676","102.6","4.352027422","0","0","0","0","68077.28"
"1163","150-127","553840","37.03184","138.06598","37.01872","138.06735","239","10.07687377","0","0","0","0","72050.03"
"1164","150-130","553843","37.06827","138.41737","37.06264","138.42355","263.9","19.20286352","0","0","0","0","55924.004"
"1165","150-131","553844","37.06667","138.60456","37.07327","138.59271","364.9","30.45679593","-1","1","0","15","56584.133"
"1166","150-133","553846","37.05536","138.80536","37.0524","138.797701","672.5","41.87708464","0","0","0","0","59448.168"
"1167","150-134","553847","37.026911","138.956908","37.02112","138.95558","429.6","52.88927659","0","0","0","0","56695.676"
"1168","150-140","553737","36.98247","137.92369","36.97317","137.91652","269.3","8.703059435","0","0","0","0","70393.08"
"1169","150-142","553831","36.9658","138.20071","36.97661","138.2057306","296.1","22.07232866","0","0","0","0","68912.19"
"1170","150-147","553836","36.93205","138.77071","36.92426","138.76801","784.9","51.47057475","0","0","0","0","55105.83"
"1171","150-153","553726","36.88466","137.85306","36.88614","137.86301","348.7","16.57673697","0","0","0","0","76483.23"
"1172","150-155","553820","36.87882","138.07914","36.88888","138.08416","1445.3","25.12072584","0","0","0","0","74961.58"
"1173","150-161","553827","36.8571","138.88581","36.85023","138.89495","1155.4","64.41983279","0","0","0","0","54049.766"
"1174","150-172","573833","38.2819","138.49951","38.27861","138.47019","248","0.7903173343","0","0","0","0","40260.57"
"1175","150-173","573822","38.19037","138.32449","38.17402","138.3532","4.3","0.447646716","0","0","0","0","40828.65"
"1176","150-177","573812","38.1577","138.30392","38.16845","138.30855","4.1","0.1770055886","0","2","1","15","41055.08"
"1177","150-178","573812","38.14139","138.38458","38.1371","138.36729","825","5.252313605","1","0","2","15","40110.8"
"1178","150-181","573802","38.01072","138.28567","38.0341","138.27168","37","0.3962228689","0","0","0","0","43657.715"
"1179","150-182","573813","38.0818","138.4236","38.08119","138.40146","2","1.108702803","0","0","0","0","40444.176"
"1180","150-183","573804","38.01206","138.49716","38.00623","138.52154","332","3.768505472","0","2","1","15","43286.516"
"1181","150-185","563872","37.9794","138.34085","37.99993","138.36196","3.6","0.1417483709","0","0","0","0","45006.504"
"1182","150-187","563874","37.98616","138.51873","37.98543","138.5068","102.2","0.7241837019","1","0","1","15","44332.77"
"1183","150-189","563862","37.87078","138.28426","37.84476","138.26576","4.9","0.3795168265","0","0","0","0","49926.324"
"1184","150-190","563863","37.90341","138.38867","37.91921","138.40858","164.5","4.266002099","0","0","0","0","48286.598"
"1185","150-191","563851","37.82141","138.20696","37.82052","138.22572","0.4","0.08345522744","0","1","3","15","51857.832"
"1186","150-192","563852","37.81473","138.27789","37.81978","138.28484","1.4","0.1093432644","0","0","0","0","51963.62"
"1187","160-004","553734","36.95948","137.58681","36.9625","137.58522","123","1.391379566","0","0","0","0","65911.695"
"1188","160-009","553723","36.91774","137.4359","36.90332","137.46715","3.3","1.045557855","0","0","0","0","62728.344"
"1189","160-011","553725","36.87133","137.64372","36.86806","137.64127","395","12.04895936","1","0","1","16","69424.88"
"1190","160-013","553617","36.796","136.92968","36.7811","136.89698","25.3","8.168580135","0","0","0","0","53846.594"
"1191","160-014","553710","36.78061","137.03512","36.79287","137.01431","5.4","3.055003576","0","0","0","0","58141.164"
"1192","160-017","553713","36.769403","137.451739","36.767533","137.4385","290.7","6.729311725","0","0","0","0","65824.83"
"1193","160-018","553714","36.8073","137.58237","36.7948","137.56387","554.3","15.93694405","1","0","1","16","69773.97"
"1194","160-019","553704","36.71822888","137.5210911","36.69628091","137.5278666","493.8","15.12022691","0","0","0","0","69674.7"
"1195","160-021","553606","36.70447","136.84873","36.7319","136.83178","36.6","14.1462689","0","0","0","0","56434.39"
"1196","160-024","553701","36.70492","137.18215","36.69139","137.16099","22.1","5.805591363","1","0","1","16","63992.34"
"1197","160-026","553702","36.7041","137.39896","36.69665","137.39591","172.9","8.821935643","1","0","1","16","65452.65"
"1198","160-032","543770","36.6342","137.03949","36.62404","137.04473","94.9","15.56966246","1","0","1","16","66654.38"
"1199","160-034","543772","36.643","137.3609","36.6532","137.35867","95","13.42183837","1","0","1","16","65559.16"
"1200","160-038","543776","36.65988","137.82901","36.65535","137.8251","919.7","38.97077588","0","0","0","0","82936.65"
"1201","160-040","543667","36.53726","136.97042","36.53623","136.98226","443","27.94332452","0","0","0","0","67129.27"
"1202","160-042","543761","36.55675","137.22945","36.54944","137.2422","267.8","22.54836162","0","0","0","0","70036.68"
"1203","160-044","543763","36.58235","137.46394","36.57778","137.46832","1011.4","23.2213","1","0","1","16","70426.625"
"1204","160-045","543764","36.57621","137.59981","36.58222","137.59668","2461.6","31.58986239","0","0","0","0","75319.414"
"1205","160-046","543765","36.566836","137.648716","36.563231","137.629945","1796.5","35.12194304","0","0","0","0","76906.67"
"1206","160-046b","543765","36.567458","137.734571","36.587617","137.737516","1764.4","40.50431011","0","0","0","0","80285.125"
"1207","160-048","543657","36.48926","136.93624","36.47714","136.93194","597","32.73951104","0","0","0","0","66945.62"
"1208","160-049","543750","36.47617","137.03052","36.48448","137.03404","621","32.44284662","-1","2","0","16","70253.46"
"1209","160-050","543751","36.488136","137.196944","36.488806","137.183964","519","29.87841037","0","0","0","0","71555.97"
"1210","160-051","543752","36.513611","137.276139","36.531097","137.278828","529","27.14179891","0","0","0","0","69596.42"
"1211","160-052","543753","36.47333","137.42246","36.47591","137.42009","1443.3","33.03949333","1","0","1","16","65359"
"1212","160-055","543646","36.37049","136.83731","36.37261","136.82386","697","33.36218043","0","1","8","16","69079.02"
"1213","170-006","563722","37.52835","137.25869","37.53099","137.27521","88","0.1875075013","0","0","0","0","54427.805"
"1214","170-009","563711","37.461106","137.14945","37.472881","137.157261","268","4.006547546","0","0","0","0","54507.973"
"1215","170-010","563712","37.47255","137.26855","37.46221","137.27661","109","3.818656403","1","0","1","17","55535.16"
"1216","170-012","563606","37.33975","136.81937","37.36061","136.8433","242","4.353302761","0","0","0","0","52711.83"
"1217","170-014","563700","37.38132","137.0182","37.37521","137.04528","172","5.218818162","0","0","0","0","54544.363"
"1218","170-017","553675","37.30801","136.72792","37.33441","136.73672","4","0.1929893098","1","0","1","17","51580.363"
"1219","170-018","553676","37.2629","136.76062","37.2597","136.79221","99.5","3.160458361","0","0","0","0","52248.523"
"1220","170-020","553770","37.2776","137.09606","37.29738","137.08014","7","0.3033664936","0","0","0","0","55681.098"
"1221","170-021","553771","37.33372","137.16381","37.31309","137.14849","112","3.144736307","0","0","0","0","56845.11"
"1222","170-024","553666","37.18693","136.84527","37.19252","136.84403","215.3","4.297946778","0","0","0","0","53789.523"
"1223","170-027","553655","37.097139","136.737781","37.097311","136.752328","125.5","0.756657027","0","0","0","0","54263.12"
"1224","170-033","553647","37.07926","136.9179","37.07634","136.90404","27.4","1.087428647","0","0","0","0","53956.26"
"1225","170-040","553615","36.76922","136.73228","36.75429","136.74499","13.6","2.425682682","-1","3","0","17","54025.574"
"1226","170-042","553605","36.69958","136.72503","36.70853","136.71546","6.4","4.595100358","0","0","0","0","56876.117"
"1227","170-048","543664","36.58585","136.60244","36.57559","136.62192","5.3","2.160685012","0","0","0","0","57411.023"
"1228","170-049","543665","36.56266","136.69034","36.55432","136.70626","107.3","10.03384874","1","0","2","17","59644.645"
"1229","170-050","543666","36.55932","136.81881","36.53546","136.81438","443.7","19.7282114","0","1","3","16","62364.324"
"1230","170-051","543653","36.46343","136.49396","36.47473","136.4804","15.4","2.789089814","0","0","0","0","62936.87"
"1231","170-052","543654","36.42128525","136.6130357","36.44500568","136.6193013","179.3","14.00333042","0","0","0","0","62796.11"
"1232","170-053","543655","36.49017","136.67251","36.46937","136.66599","272.1","13.49924082","0","0","0","0","61705.203"
"1233","170-056","543643","36.35548","136.45725","36.34624926","136.4761431","46.6","8.05475966","0","0","0","0","63484.457"
"1234","170-061","543632","36.26605","136.32618","36.25311","136.33184","44.8","7.409481116","0","0","0","0","62467.465"
"1235","170-063","543634","36.29344","136.51353","36.28328","136.51525","158","16.20474255","1","0","1","17","64378.46"
"1236","170-064","543635","36.273744","136.717192","36.290069","136.745386","525.5","31.35309803","0","2","3","17","68117.305"
"1237","170-067","543623","36.191258","136.439494","36.18454","136.45215","288","20.49471623","0","0","0","0","63670.15"
"1238","180-002","543631","36.27709","136.24117","36.29412","136.24314","1.6","1.313513917","1","0","5","18","62165.363"
"1239","180-004","543621","36.25215","136.11813","36.23852","136.12847","11.8","0.1203315375","0","0","0","0","62636.688"
"1240","180-005","543621","36.208814","136.151111","36.153986","136.159889","3.9","1.814294866","0","0","0","0","62931.656"
"1241","180-006","543622","36.223861","136.304022","36.228547","136.323461","92.9","9.417343511","0","0","0","0","62471.742"
"1242","180-008","543600","36.08881","136.09246","36.07556","136.08181","495","4.657928228","1","0","1","18","64111.023"
"1243","180-009","543611","36.10375","136.21254","36.10629","136.23207","6.7","12.10752457","0","0","0","0","63773.04"
"1244","180-009b","543611","36.10040692","136.3042154","36.10614542","136.2721147","28.4","18.73336749","0","0","0","0","63180.656"
"1245","180-010","543612","36.108761","136.365164","36.123317","136.367697","111.8","23.01737836","0","0","0","0","62919.273"
"1246","180-012","543614","36.09025","136.59352","36.10268","136.56893","505","37.8298745","0","0","0","0","65738.48"
"1247","180-012b","543614","36.12273599","136.580309","36.11412123","136.5676275","638","34.22609208","0","0","0","0","65515.457"
"1248","180-015","543600","36.027472","136.034953","36.015164","136.023989","161","2.296246244","0","0","0","0","62086.758"
"1249","180-016","543601","36.05545","136.20774","36.055","136.19413","76.5","14.96237358","0","0","0","0","63700.8"
"1250","180-016a","543600","36.097011","136.160567","36.07073","136.140675","210.2","8.768748547","0","0","0","0","64212.457"
"1251","180-016b","543600","36.07049469","136.1728861","36.04810019","136.1713931","9.1","11.51583749","0","0","0","0","64058.047"
"1252","180-017","543602","36.028914","136.250153","36.024758","136.274333","16.8","19.78245536","0","0","0","0","63202.176"
"1253","180-017b","543602","36.043697","136.343642","36.036144","136.356644","429.3","25.35579411","0","0","0","0","62389.684"
"1254","180-018","543603","36.05926102","136.4212708","36.04531315","136.4184598","138.7","30.12506665","0","0","0","0","63954.64"
"1255","180-019","543604","36.034589","136.592061","36.042381","136.617725","943.3","42.51064567","0","0","0","0","66291.49"
"1256","180-020","543605","36.06884","136.72121","36.06853","136.73211","1000.8","46.99768592","0","2","1","18","69005.03"
"1257","180-020b","543605","36.073486","136.658022","36.090478","136.651389","1396","42.88035711","0","0","0","0","67328.49"
"1258","180-023","533670","35.95632","136.01257","35.95144","135.99763","222","2.511968876","0","0","0","0","60932.656"
"1259","180-024","533671","35.94565","136.22152","35.9296336","136.2333819","37.3","19.19055263","0","0","0","0","62705.715"
"1260","180-025","533672","35.98078","136.30614","35.97071456","136.2884084","151.1","27.09357804","0","0","0","0","61908.254"
"1261","180-027a","533674","35.94044","136.55611","35.94032222","136.5787667","242","45.00591243","0","0","0","0","66819.86"
"1262","180-027b","533674","35.9639","136.60559","35.94309","136.59581","348.1","49.0291434","0","3","1","18","67182.89"
"1263","180-031","533660","35.84701","136.11533","35.84385","136.09486","383.9","4.82277323","1","0","1","18","62724.844"
"1264","180-034","533663","35.91508","136.46669","35.91752","136.45227","433.4","36.49083449","1","0","6","18","64048.223"
"1265","180-034b","533663","35.885369","136.429667","35.886133","136.4392","1304","32.11644167","0","0","0","0","62047.12"
"1266","180-041","533653","35.819844","136.485344","35.812531","136.503283","1226.4","35.15252457","0","0","0","0","63070.54"
"1267","180-045","533547","35.73787","135.98655","35.73468366","135.9743564","44","0.8266855415","0","0","0","0","59138.406"
"1268","180-045b","533526","35.571389","135.850853","35.577861","135.855711","7.6","0.1509295873","0","0","0","0","54792.594"
"1269","180-047","533641","35.72889","136.1542","35.71708","136.14017","290.9","5.174484976","1","0","3","18","56993.113"
"1270","180-048","533642","35.68044","136.2703","35.67306","136.2918","466","16.38962546","1","0","1","18","56732.836"
"1271","180-051","533537","35.59149","135.89687","35.5944","135.90674","16.9","2.2674804","1","0","5","18","54547.13"
"1272","180-051b","533630","35.61225812","136.0325482","35.61109369","136.0282487","113.3","5.137255869","0","0","0","0","51475.637"
"1273","180-056","533524","35.53586476","135.5136808","35.54017","135.50112","16.8","0.08166177097","1","0","6","18","44725.516"
"1274","180-057","533525","35.53979","135.72544","35.54603033","135.6969092","17","0.7750543581","1","0","5","18","50871.45"
"1275","180-059","533527","35.51671","135.89712","35.5062","135.88463","24","6.15603623","0","0","0","0","52116.555"
"1276","180-060","533620","35.53157","136.0392","35.52963","136.02638","570","11.93949764","1","0","1","18","48479.426"
"1277","180-061","533621","35.53189","136.22362","35.53323","136.22843","444","19.86125773","0","2","2","25","48795.74"
"1278","180-070","533506","35.39282","135.80111","35.39649","135.79588","514.6","12.60643913","0","4","7","18","47382.47"
"1279","180-070b","533517","35.49128027","135.9926504","35.48648436","135.9808916","575","14.56050345","0","0","0","0","48963.61"
"1280","190-006","533873","35.912","138.42306","35.91749","138.41203","1240.1","88.34568436","0","2","1","19","43054.008"
"1281","190-007","533864","35.85099","138.51521","35.84093","138.52684","1032.8","79.82273586","1","0","2","19","43865.39"
"1282","190-013","533853","35.77204","138.45795","35.77623","138.47314","665.5","72.55123873","0","1","1","19","48087.91"
"1283","190-016","533856","35.77827","138.80152","35.78737","138.78976","1458.2","66.7678544","0","0","0","0","48694.348"
"1284","190-020","533843","35.68251","138.40659","35.67667","138.39483","914.2","64.76854594","1","0","1","19","53509.383"
"1285","190-021","533844","35.70052","138.5907","35.70543","138.61324","500.7","62.21893497","1","0","2","19","51979.46"
"1286","190-022","533845","35.71328","138.66601","35.71246","138.63906","452.2","63.0661194","0","0","0","0","49940.504"
"1287","190-023","533846","35.73964","138.80935","35.74271","138.82299","984.7","62.84099334","1","0","3","19","49367.184"
"1288","190-029","533833","35.60518","138.42824","35.60151","138.41172","514.5","56.127574","0","0","0","0","57987.586"
"1289","190-030","533834","35.59807","138.56855","35.61088","138.59164","252.6","51.36160128","0","0","0","0","57780.902"
"1290","190-033","533837","35.63269","138.92193","35.65116","138.91065","446.2","47.28338551","1","0","8","19","53516.523"
"1291","190-038","533823","35.53639","138.48081","35.52733","138.48871","367.2","47.21785034","1","0","5","19","62544.61"
"1292","190-040","533825","35.52541","138.72291","35.52654","138.6991","888.5","42.31490529","1","0","8","19","60253.31"
"1293","190-047","533813","35.49399","138.49682","35.48826","138.47661","322.1","42.3250625","1","0","1","19","65586.83"
"1294","190-049","533815","35.44112","138.74144","35.42395","138.72655","1190","33.15331003","1","0","9","19","65347.22"
"1295","190-050","533816","35.4721165","138.8411994","35.47814518","138.8404913","1000","37.88791186","0","0","0","0","59293.5"
"1296","190-051","533817","35.50211","138.8955","35.4788","138.90164","680.6","36.96826408","0","0","0","0","56314.266"
"1297","190-055","533803","35.36983","138.42632","35.38284","138.41192","219.3","31.77523879","1","0","9","19","78594.38"
"1298","200-006","553834","36.98451","138.5763","36.9764","138.57381","368.6","35.42254235","0","0","0","0","53761.97"
"1299","200-011","553822","36.85209","138.25268","36.85745","138.26294","787","35.27766459","1","0","1","20","62141.83"
"1300","200-012","553823","36.89487","138.42602","36.89611","138.43512","538","35.5651571","0","0","0","0","51315.758"
"1301","200-014","553825","36.85635","138.65851","36.85296","138.67065","1251.6","50.92065872","1","0","1","20","50569.566"
"1302","200-016","553717","36.77498","137.88816","36.77035","137.90181","872.5","28.95172355","0","0","0","0","80883.39"
"1303","200-018","553811","36.80308397","138.1688117","36.79928","138.15652","776","36.48557433","0","0","0","0","69829.875"
"1304","200-023","553706","36.74598","137.80016","36.7511","137.77235","1273.4","29.08137183","0","0","0","0","79596.18"
"1305","200-025","553800","36.73041","138.07419","36.74997","138.06389","1048","39.42908677","0","0","0","0","75392.29"
"1306","200-027","553802","36.72379","138.30999","36.72057","138.34127","337","50.20264401","0","0","0","0","53027.316"
"1307","200-028","553803","36.71028","138.49606","36.68495","138.4888","1588.8","56.63982646","0","0","0","0","46580.83"
"1308","200-029","553804","36.73807","138.5146","36.73824","138.54224","1641.9","54.61924355","1","0","2","20","47149.67"
"1309","200-034","543870","36.61364","138.04576","36.62668","138.04238","425.6","50.49591694","1","0","1","20","73136.67"
"1310","200-035","543871","36.64778","138.176","36.64898","138.16793","413","51.572407","0","0","0","0","63588.27"
"1311","200-036","543872","36.65928","138.27492","36.64005","138.26303","333.9","55.02702377","0","0","0","0","54947.03"
"1312","200-040","543766","36.55315","137.85374","36.54539","137.85451","808.7","49.92954444","1","0","1","20","83630.15"
"1313","200-044","543862","36.58221","138.34441","36.57219","138.36054","778.3","65.58573017","1","0","2","20","45501.867"
"1314","200-047","543755","36.476458","137.476458","36.47717","137.66934","1556.3","34.26103055","0","0","0","0","67443.28"
"1315","200-049","543757","36.46306","137.96025","36.45238","137.9763","482.8","63.34759687","1","0","3","20","71294.64"
"1316","200-050","543850","36.48782","138.08563","36.47519","138.08475","823.8","64.82882068","0","0","0","0","63462.387"
"1317","200-051","543851","36.44854","138.20691","36.45606","138.23309","512.6","72.88411262","1","0","5","20","50520.496"
"1318","200-058","543747","36.407","137.9259","36.39158","137.94639","515","65.16379592","1","0","1","20","70158.49"
"1319","200-061","543842","36.40317","138.34871","36.41144","138.35557","953.4","82.79862867","0","0","0","0","39895.504"
"1320","200-063","543844","36.36431","138.59089","36.36592","138.60059","982.9","95.40333276","1","0","2","20","42322.74"
"1321","200-070","543831","36.26633","138.15553","36.25397","138.15296","1002.9","90.11432547","0","0","0","0","49992.957"
"1322","200-076","543725","36.24925","137.63883","36.25251","137.66621","1505.6","63.2385077","-1","2","0","20","63950.305"
"1323","200-077","543726","36.1823","137.83465","36.17358361","137.8550648","901","78.59927372","0","1","12","20","62533.527"
"1324","200-078","543727","36.18445","137.99018","36.20656","137.98211","663.7","87.14022376","1","0","6","20","54505.844"
"1325","200-079","543820","36.22646","138.10937","36.21765","138.12108","2027.2","90.94458763","0","0","0","0","49477.016"
"1326","200-085","543714","36.12472","137.55379","36.11799","137.55697","2703.9","73.48094666","0","0","0","0","57604.78"
"1327","200-088","543717","36.11508","137.90243","36.09792","137.90342","770.7","88.2098441","1","0","1","20","56946.137"
"1328","200-089","543810","36.093","138.03003","36.11096","138.03316","1073.4","97.15756391","1","0","2","20","49332.508"
"1329","200-091a","543812","36.12106","138.29138","36.10948056","138.2971528","1900.8","109.429028","1","0","1","20","43079.89"
"1330","200-091b","543812","36.11562","138.33115","36.11181","138.30935","2012.8","111.3433354","0","0","0","0","42284.44"
"1331","200-093","543814","36.12730992","138.5840768","36.11697","138.61406","933.5","109.3649397","0","0","0","0","44736.176"
"1332","200-096","543705","36.07615","137.69799","36.08034","137.71241","1249.5","82.92583809","1","0","1","20","57208.168"
"1333","200-098","543707","36.06215","137.97874","36.07121","137.9935","869.1","97.00148726","0","0","0","0","52083.11"
"1334","200-099","543800","36.04509","138.03971","36.03149","138.04435","876.2","101.840884","0","0","0","0","48838.945"
"1335","200-100","543801","36.07221","138.15947","36.08546","138.16157","1429.5","106.64016","0","0","0","0","44148.734"
"1336","200-101","543802","36.05896","138.34626","36.05048","138.35952","2118.1","105.9418849","0","0","0","0","41425.508"
"1337","200-102","543803","36.05484","138.45961","36.05052","138.46416","1124.5","102.9863719","1","0","6","20","42632.164"
"1338","200-103","543804","36.06151","138.51568","36.06065","138.53847","930.4","102.8319816","0","0","0","0","43765.76"
"1339","200-106","533774","35.92212","137.54762","35.9203594","137.5301445","1412.3","95.10839682","0","2","7","20","60630.53"
"1340","200-111","543801","36.00021","138.13842","35.98219","138.15143","767.9","106.3414694","0","0","0","0","44671.92"
"1341","200-112","533872","35.92083","138.26855","35.92529","138.2955","1065.9","93.99304574","0","0","0","0","43521.6"
"1342","200-119","533765","35.85216","137.70195","35.85458","137.68659","774.3","106.3190733","0","3","1","20","62209.65"
"1343","200-120","533766","35.8974","137.77002","35.88064","137.77553","891.3","103.7289914","0","0","0","0","61194.984"
"1344","200-121","533767","35.8883","137.91523","35.88164","137.90769","937.8","104.9067598","1","0","1","20","57250.016"
"1345","200-122","533860","35.90593","138.00408","35.90919","138.02112","774.8","102.2974697","1","0","1","20","51496.836"
"1346","200-130","533754","35.79078","137.55945","35.77059","137.56074","993","98.43707921","1","0","2","20","62204.332"
"1347","200-131","533755","35.80947","137.64293","35.806833","137.654522","949","104.8379209","0","0","0","0","62676.68"
"1348","200-132","533756","35.83112","137.77446","35.81564","137.78223","1306.1","107.660364","0","0","0","0","61783.395"
"1349","200-133","533757","35.80678","137.92834","35.80112","137.89928","722.3","96.82097732","0","0","0","0","56854.58"
"1350","200-134","533850","35.78246","138.01647","35.78124","138.01064","1069.2","90.06507887","0","0","0","0","51250.188"
"1351","200-141","533840","35.70609","138.09448","35.70955","138.103","1134.7","79.12328254","1","0","18","20","50725.992"
"1352","200-143","533734","35.64768","137.60459","35.66399","137.58237","569.3","89.44221786","-1","1","0","20","63683.74"
"1353","200-146","533737","35.63206","137.96113","35.63769","137.9804","828.8","79.94917132","1","0","1","20","56489.066"
"1354","200-147","533830","35.59488633","138.0495537","35.59213","138.05845","755.9","71.55011276","-1","2","0","20","55761.547"
"1355","200-151","533726","35.56445","137.84859","35.58235","137.8325","701.2","82.33804617","0","0","0","0","61027.637"
"1356","200-153","533820","35.56028","138.04723","35.56581","138.05502","831.1","68.80552242","1","0","1","20","58573.99"
"1357","200-156","533715","35.496","137.70497","35.48532","137.72404","785.7","84.61474867","1","0","2","20","62537.285"
"1358","200-157","533716","35.45496","137.83213","35.449328","137.848114","440.7","76.36081898","0","0","0","0","64892.246"
"1359","200-163","533706","35.36305","137.84136","35.35479","137.84061","417","68.2879046","1","0","3","20","68718.875"
"1360","200-165","533800","35.37773","138.07038","35.38463","138.09261","840.1","53.81815604","1","0","4","20","73728.76"
"1361","200-168","523775","35.26328","137.74411","35.27966","137.7248","826","64.5017892","-1","2","0","20","66530.84"
"1362","200-169","523776","35.28351","137.86029","35.275572","137.861636","441.4","61.00544242","1","0","13","20","69642.22"
"1363","210-011","543744","36.36957","137.60189","36.35124","137.59741","2551","49.85482454","0","0","0","0","68672.78"
"1364","210-014","543637","36.29581","136.94191","36.31022","136.97294","897","45.83291942","0","0","0","0","72378.4"
"1365","210-015","543730","36.284094","137.0617","36.29079","137.05846","766.4","52.86010032","0","0","0","0","74526"
"1366","210-017","543732","36.31284","137.33793","36.30199","137.3411","567.4","49.50844449","0","0","0","0","60085.703"
"1367","210-019","543734","36.282519","137.580119","36.264358","137.562267","1292.9","57.70336293","0","0","0","0","65262.613"
"1368","210-022a","543627","36.22813","136.87851","36.25312","136.87779","564.7","45.95661811","1","0","7","21","71712.75"
"1369","210-024","543721","36.2258","137.15661","36.21475","137.13258","733.6","59.01469674","0","0","0","0","70814.24"
"1370","210-026","543723","36.22141","137.37821","36.225045","137.40871","884.3","59.87012199","0","0","0","0","57967.586"
"1371","210-028","543616","36.14323","136.82072","36.14599","136.79229","1238.3","47.59941584","1","0","1","0","71178.67"
"1372","210-031","543711","36.1352","137.16373","36.1481","137.17481","662.1","69.04683024","0","0","0","0","69238.16"
"1373","210-032","543712","36.15243","137.25949","36.13956","137.26533","605.1","67.24647735","1","0","1","21","63150.28"
"1374","210-033","543713","36.14827","137.44098","36.1419","137.46117","1502","68.63991855","0","0","0","0","58586.836"
"1375","210-036","543606","36.011417","136.768256","36.033425","136.758514","784","54.58383235","0","0","0","0","70811.51"
"1376","210-037","543607","36.01141","136.89702","36.01176","136.87256","881.3","62.66186873","0","0","0","0","72375.77"
